text,label
"I love this product! It's amazing.",positive
"This is the worst experience I've ever had.",negative
"Absolutely fantastic service, will come again!",positive
"Not worth the money, very disappointing.",negative
"Great quality and fast shipping!",positive
"I had high hopes, but it fell short.",negative
"Excellent customer support, very helpful.",positive
"Terrible, I will never buy this again.",negative
"Very satisfied with my purchase, highly recommend!",positive
"Awful product, do not waste your money.",negative
